id,size,parent_id,created_at,updated_at
1,shoes,,2019/4/20 2:51,2019/4/20 2:51
2,clothes,,2019/4/20 2:51,2019/4/20 2:51
3,23.5cm以下,1,2019/4/20 2:51,2019/4/20 2:51
4,24cm,1,2019/4/20 2:51,2019/4/20 2:51
5,24.5cm,1,2019/4/20 2:51,2019/4/20 2:51
6,25cm,1,2019/4/20 2:51,2019/4/20 2:51
7,25.5cm,1,2019/4/20 2:51,2019/4/20 2:51
8,26cm,1,2019/4/20 2:51,2019/4/20 2:51
9,26.5cm,1,2019/4/20 2:51,2019/4/20 2:51
10,27cm,1,2019/4/20 2:51,2019/4/20 2:51
11,27.5cm,1,2019/4/20 2:51,2019/4/20 2:51
12,28cm,1,2019/4/20 2:51,2019/4/20 2:51
13,28.5cm,1,2019/4/20 2:51,2019/4/20 2:51
14,29cm,1,2019/4/20 2:51,2019/4/20 2:51
15,29.5cm,1,2019/4/20 2:51,2019/4/20 2:51
16,30cm,1,2019/4/20 2:51,2019/4/20 2:51
17,30.5cm,1,2019/4/20 2:51,2019/4/20 2:51
18,31cm以上,1,2019/4/20 2:51,2019/4/20 2:51
